item_id,item_image,item_name
8004399331143,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XXG48_L_P_8004399331143_1.png",350.15.B מכונת קפה
661176010028,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DSN38_L_P_661176010028_1.png",3N צבע לשיער נטורטינט
8016744806626,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FPJ58_L_P_8016744806626_1.png",3Nצבע לשיער הרבטינט
7290014612129,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/LEO44_L_P_7290014612129_1.png",3סבון טבעי  מועשר קלאסי
4033521,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/LSK18_L_P_4033521_1.png",4 לחמניות המבורגר בריוש
661176016143,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/MTS42_L_P_661176016143_1.png",4.35צבע לשיער נטורטינט
7290114786157,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XPU58_L_P_7290114786157_1.png",40 ליטר לבן
7290114786133,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XOW52_L_P_7290114786133_1.png",40 ליטר נירוסטה
7290114786140,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/XPD50_L_P_7290114786140_1.png",40 ליטר שחור
7290017896793,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IDU68_L_P_7290017896793_1.png", טוסטר
7290017896793,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IDU68_L_P_7290017896793_1.png", טוסטר
7290017896809,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IEK66_L_P_7290017896809_1.png", טוסטר
7290017896809,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IEK66_L_P_7290017896809_1.png", טוסטר
7290017896816,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IER64_L_P_7290017896816_1.png", טוסטר
7290017896816,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/IER64_L_P_7290017896816_1.png", טוסטר
8016744806701,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FSG52_L_P_8016744806701_1.png",4D צבע לשיער הרבטינט
661176010912,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FAN40_L_P_661176010912_1.png",4G צבע לשיער נטורטינט
